2018-03-12= Min: 398, Max: 550, Avg: 488.2123829137049
2018-03-19= Min: 414, Max: 772, Avg: 608.3570425444032
2018-03-26= Min: 532, Max: 838, Avg: 713.0174488866816
2018-04-02= Min: 159, Max: 714, Avg: 371.0943097215115
2018-04-09= Min: 230, Max: 539, Avg: 347.12938353330577
2018-04-16= Min: 420, Max: 707, Avg: 559.8134442088524
2018-04-23= Min: 442, Max: 935, Avg: 733.1856086301891
2018-04-30= Min: 522, Max: 927, Avg: 750.2383958226613
2018-05-07= Min: 711, Max: 1179, Avg: 972.0967672627507
2018-05-14= Min: 1107, Max: 1378, Avg: 1212.8757814308867
2018-05-21= Min: 1059, Max: 1367, Avg: 1217.2898948936522
2018-05-28= Min: 1111, Max: 1482, Avg: 1293.7076701869205
2018-06-04= Min: 1153, Max: 1631, Avg: 1417.0916856680215
2018-06-11= Min: 1523, Max: 1779, Avg: 1675.7846214981125
2018-06-18= Min: 1619, Max: 1929, Avg: 1784.351460288093
2018-06-25= Min: 1602, Max: 1922, Avg: 1762.668732189012
2018-07-02= Min: 1674, Max: 1980, Avg: 1854.8997341874556
2018-07-09= Min: 1895, Max: 2048, Avg: 1964.782351590309
